chr1_4351948_4352098	0
chr1_4417979_4418129	17.6
chr1_4427457_4427607	10.2
chr1_4433629_4433779	5.77
chr1_4490611_4490761	34.6
chr1_4491618_4491768	10.2
chr1_4492655_4492805	4.94
chr1_4493284_4493434	4.12
chr1_4493416_4493566	4.12
chr1_4496117_4496267	7.69
chr1_4496287_4496437	19.8
chr1_4496399_4496549	19.8
chr1_4496489_4496639	0
chr1_4496970_4497120	7.42
chr1_4571611_4571761	4.94
chr1_4571674_4571824	4.94
chr1_4571911_4572061	28
chr1_4623159_4623309	5.49
chr1_4623399_4623549	19.2
chr1_4689194_4689344	9.61
chr1_4746972_4747122	8.24
chr1_4748092_4748242	7.69
chr1_4748180_4748330	7.69
chr1_4748243_4748393	0
chr1_4766830_4766980	5.49
chr1_4771062_4771212	7.42
chr1_4774857_4775007	6.59
chr1_4775045_4775195	33.8
chr1_4775120_4775270	33.8
chr1_4775259_4775409	0
chr1_4775483_4775633	17.9
chr1_4775646_4775796	6.59
chr1_4777260_4777410	4.12
chr1_4780190_4780340	13.2
chr1_4785506_4785656	5.22
chr1_4785697_4785847	11
chr1_4786146_4786296	4.94
chr1_4807405_4807555	4.94
chr1_4807609_4807759	10.4
chr1_4807798_4807948	4.39
chr1_4808058_4808208	11
chr1_4808396_4808546	4.67
chr1_4857635_4857785	64.8
chr1_4858278_4858428	8.52
chr1_4858717_4858867	4.39
chr1_4880621_4880771	5.77
chr1_4907146_4907296	6.04
chr1_4914419_4914569	3.57
chr1_4918696_4918846	6.04
chr1_5019333_5019483	14.3
chr1_5020044_5020194	4.12
chr1_5020142_5020292	4.12
chr1_5020241_5020391	0
chr1_5022815_5022965	11
chr1_5070338_5070488	6.87
chr1_5082740_5082890	7.69
chr1_5083020_5083170	27.2
chr1_5083254_5083404	6.32
chr1_6214109_6214259	11.5
chr1_6214287_6214437	16.5
chr1_6214529_6214679	31.3
chr1_6214881_6215031	9.89
chr1_6215074_6215224	3.3
chr1_6215176_6215326	3.3
