chr1_4689126_4689276	0
chr1_4689327_4689477	2.88
chr1_4768499_4768649	7.11
chr1_4769966_4770116	6.34
chr1_4771051_4771201	11.3
chr1_4780191_4780341	4.42
chr1_4785428_4785578	7.31
chr1_4785488_4785638	7.31
chr1_4785696_4785846	39
chr1_4785962_4786112	13.3
chr1_4786081_4786231	13.3
chr1_4800862_4801012	4.81
chr1_4807656_4807806	17.5
chr1_4807834_4807984	7.69
chr1_4808050_4808200	7.31
chr1_4808356_4808506	3.84
chr1_4808440_4808590	3.84
chr1_4857036_4857186	6.15
chr1_4857602_4857752	90.9
chr1_4858278_4858428	21.1
chr1_4858549_4858699	8.27
chr1_4873908_4874058	9.23
chr1_4874158_4874308	46.1
chr1_4880615_4880765	16
chr1_5083007_5083157	8.46
chr1_6213262_6213412	4.81
chr1_6214241_6214391	35.9
chr1_6214532_6214682	88.8
chr1_6214866_6215016	12.9
chr1_6215024_6215174	4.61
chr1_6215147_6215297	4.61
chr1_6215415_6215565	7.5
chr1_6272360_6272510	6.54
chr1_7088778_7088928	171.5
chr1_7089786_7089936	8.07
chr1_7177648_7177798	6.34
chr1_7397290_7397440	9.8
chr1_7397356_7397506	9.8
chr1_7397611_7397761	125
chr1_7397868_7398018	133.4
chr1_9544998_9545148	11.9
chr1_9545176_9545326	164.4
chr1_9650569_9650719	4.04
chr1_9696950_9697100	5.77
chr1_9699730_9699880	6.92
chr1_9699814_9699964	6.92
chr1_9699918_9700068	0
chr1_9700073_9700223	5.58
chr1_9700288_9700438	26
chr1_9700546_9700696	18.8
chr1_9700938_9701088	3.46
chr1_9701015_9701165	3.46
chr1_9703188_9703338	9.42
chr1_9744958_9745108	24.8
chr1_9747376_9747526	14.2
chr1_9747814_9747964	12.9
chr1_9748376_9748526	271.8
chr1_9748466_9748616	271.8
chr1_9772867_9773017	34
chr1_9776484_9776634	29.6
chr1_9780518_9780668	57.5
chr1_9783617_9783767	9.42
chr1_9784459_9784609	13.5
chr1_9798508_9798658	9.42
chr1_9798852_9799002	7.5
chr1_9799116_9799266	15.8
chr1_9799998_9800148	22.5
chr1_9848247_9848397	8.27
chr1_9860901_9861051	3.84
chr1_9861449_9861599	4.81
chr1_9906573_9906723	2.69
chr1_9943751_9943901	5.19
chr1_9943853_9944003	5.19
chr1_9944068_9944218	34
chr1_9990043_9990193	6.73
chr1_10037473_10037623	8.46
chr1_10037865_10038015	127.1
chr1_10038111_10038261	92.1
chr1_10038286_10038436	6.73
chr1_10038384_10038534	6.73
chr1_10039631_10039781	13.6
chr1_10039733_10039883	13.6
chr1_10040080_10040230	23.8
chr1_10089452_10089602	3.84
chr1_10089529_10089679	3.84
chr1_10089660_10089810	0
chr1_10089899_10090049	3.46
chr1_10108778_10108928	3.08
chr1_10109119_10109269	2.69
chr1_10109172_10109322	2.69
chr1_10115804_10115954	3.08
chr1_10208645_10208795	3.84
chr1_10231762_10231912	4.81
chr1_10232208_10232358	3.46
chr1_10232258_10232408	3.46
chr1_10232533_10232683	3.46
chr1_10232984_10233134	11.5
chr1_10233280_10233430	4.61
chr1_12875581_12875731	7.11
chr1_12884256_12884406	10
chr1_13117843_13117993	3.84
chr1_13154578_13154728	6.54
chr1_13314801_13314951	3.27
chr1_13372143_13372293	16.7
chr1_13372445_13372595	118.4
chr1_13372726_13372876	10.8
chr1_13373990_13374140	6.73
chr1_13374274_13374424	5
chr1_13374479_13374629	6.54
chr1_13531592_13531742	5
chr1_13566274_13566424	7.31
chr1_13566324_13566474	7.31
chr1_13568664_13568814	8.46
chr1_13568928_13569078	52.5
chr1_13573796_13573946	14.2
chr1_13573917_13574067	14.2
chr1_13574203_13574353	49.8
chr1_13574481_13574631	10
chr1_13574543_13574693	10
chr1_13574761_13574911	8.46
chr1_13574833_13574983	8.46
chr1_13574962_13575112	0
chr1_13588424_13588574	8.65
chr1_13589848_13589998	29.6
chr1_13589933_13590083	29.6
chr1_13625731_13625881	3.27
chr1_13659607_13659757	8.07
chr1_13659771_13659921	14.4
chr1_13659860_13660010	14.4
chr1_13660160_13660310	13.8
chr1_13660489_13660639	169.9
chr1_13660564_13660714	169.9
chr1_13706440_13706590	3.27
chr1_14484230_14484380	4.61
chr1_14484612_14484762	13.1
chr1_14484724_14484874	13.1
chr1_15792031_15792181	4.42
chr1_15805298_15805448	12.7
chr1_15805509_15805659	118.2
chr1_15805870_15806020	15.6
chr1_15806200_15806350	16.3
chr1_15806405_15806555	5.38
chr1_16103743_16103893	10
chr1_16104109_16104259	28.6
chr1_16104342_16104492	39
chr1_16104492_16104642	9.23
chr1_16104678_16104828	43.1
chr1_16104906_16105056	30.6
chr1_16105339_16105489	4.23
chr1_16105632_16105782	7.31
chr1_16105713_16105863	7.31
chr1_16105924_16106074	5.38
chr1_16106024_16106174	5.38
chr1_16106154_16106304	0
chr1_16618484_16618634	6.15
chr1_16618684_16618834	3.65
chr1_16619067_16619217	3.27
chr1_16619253_16619403	40
chr1_16653335_16653485	20.6
chr1_16655742_16655892	6.92
chr1_16656461_16656611	25.4
chr1_16657075_16657225	109.6
